sample_id,video_time,timestamp,imei,name,type,eventType,eventId,eventDateTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gravitational,speed,heading,altitude,accuracy,dbm,gpsState,pulseSpeed,brake,blinker_r,blinker_l,latitude,longitude,recordDateTime,oldestDateTime,deviceStatus,rapidAccelerator,rapidDecelerator,leftSteer,rightSteer,fluctuation,frontCollision,leftLaneDeparture,rightLaneDeparture,outgoingDelay,speedOver,drowsinessDetection,distractionDetection,objectDetectionPhone,adaptiveCruiseControlClose,adaptiveCruiseControlNear,eventReserve1,eventReserve2,eventReserve3,eventReserve4,eventReserve5,eventReserve6,eventReserve7,eventReserve8,eventReserve9,nmeaLocalTime,nmeaLocalDate,nmeaLatitude,nmeaLatitudeSector,nmeaLongitude,nmeaLongitudeSector,nmeaLocationQuality,nmeaSatellites,nmeaAltitude,nmeaPositioningMode,nmeaSatelliteNumber,nmeaPdop,nmeaHdop,nmeaVdop,nmeaDirection,nmeaGpsSpeed,vehicleInformationBack,carReserve1,carReserve2,carReserve3,carReserve4,carReserve5,carReserve6,carReserve7,carReserve8,carReserve9,carReserve10,action_label,taxi_id
1,16.129,1725929029911,,,,,,,-0.4497668,0.020770637,0.9056153,-0.0017242432,-0.0038604736,-0.0010223389,0.4600327,0.0,0.0,47.04400634765625,3,-59,2,0.7064363956451416,1,0,0,33.56906809,130.41864713,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4351.0,100924,33.56906808333333,1,130.41864713333334,1,1,12,19.6,3,"[5, 6, 7, 9, 11, 13, 15, 19, 20, 29, 30, 70]",0.8,0.5,0.6,142.9,0.0,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
2,351253.357,1726280267139,,,,,,,-0.49642915,0.35913584,0.86603904,-0.26252747,0.010437012,0.59791565,0.6271889,8.0,123.0,42.83270263671875,3,-72,2,10.596545219421388,0,1,0,33.56202877,130.44374779,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21748.0,140924,33.56202876666667,1,130.44374778333335,1,1,12,15.3,3,"[5, 11, 13, 15, 18, 20, 29, 30, 67, 68, 69, 77]",0.8,0.5,0.6,123.1,8.1,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
3,351258.207,1726280271989,,,,,,,-0.41898456,0.8089027,0.6068296,0.039489746,0.4525299,-0.050308228,0.9921968,24.0,67.0,39.9764404296875,3,-74,2,24.018836975097656,0,0,0,33.56215157,130.44404446,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21753.0,140924,33.56215156666666,1,130.44404446666667,1,1,12,12.5,3,"[5, 11, 13, 15, 18, 20, 29, 30, 67, 68, 69, 77]",0.8,0.5,0.7,67.0,24.2,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
4,351907.337,1726280921119,,,,,,,-0.43608686,-0.12508003,0.8973102,0.25698853,0.013885498,-0.5346832,0.46514723,8.0,291.0,43.1732177734375,3,-61,2,10.596545219421388,0,0,0,33.57074469,130.45318324,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22842.0,140924,33.57074468333333,1,130.45318323333333,1,1,12,15.7,3,"[5, 11, 13, 15, 20, 29, 30, 67, 68, 69, 78, 82]",0.9,0.6,0.7,291.2,8.6,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
5,351911.917,1726280925699,,,,,,,-0.4903225,0.10065974,0.843073,-0.099349976,-0.07348633,-0.030273438,0.5245709,16.0,320.0,44.24169921875,3,-56,2,20.486656188964844,1,0,0,33.57091446,130.4530252,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22846.0,140924,33.570914466666665,1,130.45302519999998,1,1,12,16.8,3,"[5, 11, 13, 15, 20, 24, 29, 30, 67, 68, 69, 78]",0.9,0.5,0.7,320.6,17.0,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
6,351915.647,1726280929429,,,,,,,-0.35131183,-0.10040439,0.97280073,-0.08709717,-0.034591675,0.24456787,0.36638892,8.0,252.0,42.57183837890625,3,-56,2,11.067503929138184,1,1,0,33.57097741,130.45291711,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22850.0,140924,33.570977416666665,1,130.45291711666664,1,1,12,15.1,3,"[5, 11, 13, 15, 20, 24, 29, 30, 67, 68, 69, 77]",0.8,0.5,0.7,252.8,8.4,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
7,479289.464,1726408303246,352176111057925.0,EVT_352176111057925_20240915225144.gz,EVT,11.0,5c018e16-d035-4db3-abeb-5a01752ab59e,20240915225144.0,-0.5470011,0.021992898,0.86530566,-0.045791626,0.0015106201,0.07606506,0.5637699,4.0,259.0,47.6607666015625,3,-75,2,6.3579277992248535,0,0,0,33.57460383,130.37788135,20240915225144.0,20240909203433.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135144.0,150924,33.574603833333335,1,130.37788135,1,1,12,20.3,3,"[4, 7, 8, 9, 16, 21, 26, 27, 31, 75, 76, 77]",0.8,0.5,0.6,259.5,4.7,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
8,652666.505,1726581680287,,,,,,,-0.39284375,-0.026869481,0.92784804,-0.0029449463,-0.00030517578,0.008926392,0.4003175,0.0,41.0,47.4002685546875,3,-87,2,0.0,1,0,0,33.58278217,130.39454374,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140121.0,170924,33.58278216666667,1,130.39454373333334,1,1,12,20.0,3,"[4, 7, 8, 16, 21, 26, 27, 31, 78, 79, 80, 81]",0.8,0.5,0.6,41.4,0.9,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
9,652673.735,1726581687517,,,,,,,-0.50204843,-0.5083964,0.9310244,-0.04449463,0.07107544,-0.2920227,0.7178281,6.0,46.0,48.56390380859375,3,-82,2,7.770800113677979,0,0,0,33.58280509,130.394579,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140128.0,170924,33.58280508333333,1,130.39457900000002,1,1,12,21.2,3,"[4, 7, 8, 9, 16, 21, 26, 27, 31, 78, 79, 80]",0.8,0.5,0.6,46.3,6.4,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
10,729057.319,1726658071101,,,,,,,-0.43559796,-0.03175541,0.9158777,0.08381653,0.023513794,-0.20536804,0.44478145,7.0,286.0,45.8541259765625,3,-62,2,7.770800113677979,0,0,1,33.59417277,130.35990786,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111432.0,180924,33.59417276666667,1,130.35990786666667,1,1,12,18.5,3,"[3, 16, 18, 26, 27, 28, 29, 31, 32, 67, 68, 69]",0.8,0.5,0.6,286.7,7.3,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
11,729062.599,1726658076381,,,,,,,-0.4553861,0.21303916,0.9439725,-0.19316101,-0.04573059,0.27348328,0.5058668,17.0,302.0,47.78009033203125,3,-78,2,16.9544734954834,0,0,0,33.59428675,130.35976954,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111437.0,180924,33.594286749999995,1,130.35976953333332,1,1,12,20.4,3,"[3, 16, 18, 26, 27, 28, 29, 31, 32, 67, 68, 69]",0.8,0.5,0.6,302.7,17.2,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
12,803137.138,1726732150920,352176111057925.0,EVT_352176111057925_20240919164912.gz,EVT,11.0,29d1e2a0-a8ff-436b-ae55-54a4756bf3c6,20240919164912.0,-0.17345662,0.0024476342,1.0517105,-0.034835815,-0.057739258,0.05807495,0.18101703,30.0,90.0,48.58807373046875,3,-88,2,33.9089469909668,1,1,1,33.58180514,130.40178773,20240919164912.0,20240913220227.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74912.0,190924,33.58180513333333,1,130.40178773333332,1,1,12,21.2,3,"[10, 12, 23, 24, 25, 28, 29, 31, 32, 66, 67, 68]",0.7,0.5,0.6,90.9,30.7,0,0,0,0,0,0,0,0,0,0,0,,taxi352176111057925
